FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
269186,Aldi,Retailers - supermarkets/hypermarkets,"Botley Road, Oxford, Oxfordshire",OX2 0HA,0,0,0
974651,Aldi,Retailers - supermarkets/hypermarkets,"Horspath Driftway, Oxford, Oxfordshire",OX3 7JG,0,0,0
1702949,EU SUPERSTORE,Retailers - supermarkets/hypermarkets,"115 London Road, Headington, Oxford",OX3 9HZ,0,0,0
268954,Iceland,Retailers - supermarkets/hypermarkets,"108-110 London Road, Headington, Oxford",OX3 9AW,5,0,0
1603536,Jiamart Chinese Supermarket,Retailers - supermarkets/hypermarkets,"Coventry Building Society, 18 New Inn Hall Street, Oxford",OX1 2DW,0,10,5
1695104,Khalifa Super Store Ltd,Retailers - supermarkets/hypermarkets,"120 Cowley Road, Oxford, Oxfordshire",OX4 1JE,5,10,10
1215459,Lidl,Retailers - supermarkets/hypermarkets,"Lidl UK, Watlington Road, Cowley",OX4 6NF,0,0,0
1561478,Lidl,Retailers - supermarkets/hypermarkets,"Unit 5A, Templars Shopping Park, Between Towns Road",OX4 3JP,0,0,0
269214,Marks & Spencer,Retailers - supermarkets/hypermarkets,"13-18 Queen Street, Oxford, Oxfordshire",OX1 1AB,0,0,0
268370,Marks & Spencer,Retailers - supermarkets/hypermarkets,"242 - 254 Banbury Road, Oxford, Oxfordshire",OX2 7BY,0,0,0
268896,Marks & Spencer,Retailers - supermarkets/hypermarkets,"Unit 2, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,0,0
836588,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,"Marks And Spencer Simply Food, John Radcliffe Hospital, Headley Way",OX3 9DU,0,0,0
269238,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,"Oxford Railway Station, Park End Street, Oxford",OX1 1HS,0,0,5
1015463,Sainsbury's,Retailers - supermarkets/hypermarkets,"117 - 119 St Aldate's, Oxford, Oxfordshire",OX1 1EA,0,0,0
269464,Sainsbury's,Retailers - supermarkets/hypermarkets,"21 Westgate Shopping Centre, Bonn Square, Oxford",OX1 1PA,0,0,0
395979,Sainsbury's,Retailers - supermarkets/hypermarkets,"5 Magdalen Street, Oxford, Oxfordshire",OX1 3AD,0,0,0
737357,Sainsbury's,Retailers - supermarkets/hypermarkets,"98 London Road, Headington, Oxford",OX3 9AJ,0,0,5
268711,Sainsbury's,Retailers - supermarkets/hypermarkets,"J Sainsbury PLC, Heyford Hill, Oxford",OX4 4XR,0,0,0
441855,Sainsbury's,Retailers - supermarkets/hypermarkets,"Sainsbury's Supermarkets Ltd, 9 Suffolk House, 263 - 265 Banbury Road",OX2 7HN,0,0,0
661415,Sainsbury's,Retailers - supermarkets/hypermarkets,"Unit 1, Templars Shopping Park, Between Towns Road",OX4 3JP,0,0,0
929912,Sainsbury's Local,Retailers - supermarkets/hypermarkets,"Sainsbury's Supermarkets Ltd, 134B Cowley Road, Oxford",OX4 1JH,5,5,0
395980,Sainsbury's Local,Retailers - supermarkets/hypermarkets,"Waynflete Building, 1 - 8 St Clement's Street, Oxford",OX4 1DN,0,0,0
1023188,Seoul Plaza,Retailers - supermarkets/hypermarkets,"59 - 63 Cowley Road, Oxford, Oxfordshire",OX4 1HR,0,0,0
679555,Tesco,Retailers - supermarkets/hypermarkets,"Tesco Express, 279 Abingdon Road, Oxford",OX1 4TJ,0,0,0
269248,Tesco Express,Retailers - supermarkets/hypermarkets,"75 St Aldate's, Oxford, Oxfordshire",OX1 1RA,0,0,0
809479,Tesco Express,Retailers - supermarkets/hypermarkets,"85 London Road, Headington, Oxford",OX3 9AA,5,0,0
268523,Tesco Express,Retailers - supermarkets/hypermarkets,"Tesco Oxford Cowley Express (2990), 159 - 161 Cowley Road, Oxford",OX4 1UT,5,0,0
268375,Tesco Express,Retailers - supermarkets/hypermarkets,"Unit 5, Suffolk House, 263-265 Banbury Road",OX2 7HN,0,0,0
269253,Tesco Metro,Retailers - supermarkets/hypermarkets,"9 Magdalen Street, Oxford, Oxfordshire",OX1 3AE,0,0,0
269544,Tesco Superstore,Retailers - supermarkets/hypermarkets,"Unit 7, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,0,0
739532,The Co-operative,Retailers - supermarkets/hypermarkets,"123 Walton Street, Oxford, Oxfordshire",OX2 6AH,5,0,0
269104,The Co-operative,Retailers - supermarkets/hypermarkets,"15 - 17 Old Marston Road, Oxford, Oxfordshire",OX3 0JR,5,0,5
268963,The Co-operative,Retailers - supermarkets/hypermarkets,"152 London Road, Headington, Oxford",OX3 9ED,0,5,0
268347,The Co-operative,Retailers - supermarkets/hypermarkets,"17-19 Atkyns Road, Headington, Oxford",OX3 8RA,0,0,0
268469,The Co-operative,Retailers - supermarkets/hypermarkets,"20 - 22 Cherwell Drive, Oxford, Oxfordshire",OX3 0LY,0,5,0
889455,The Co-operative,Retailers - supermarkets/hypermarkets,"25-27 Littlemore Road, Oxford, Oxfordshire",OX4 3SS,5,5,5
268826,The Co-operative,Retailers - supermarkets/hypermarkets,"297 Iffley Road, Oxford, Oxfordshire",OX4 4AG,5,5,0
269433,The Co-operative,Retailers - supermarkets/hypermarkets,"40-42 Walton Street, Oxford, Oxfordshire",OX2 6AD,0,5,10
269271,The Co-operative,Retailers - supermarkets/hypermarkets,"74 Rose Hill, Oxford, Oxfordshire",OX4 4HS,5,0,0
269413,The Co-operative,Retailers - supermarkets/hypermarkets,"Ground Floor, 21 The Square, Oxford",OX4 3XQ,5,5,5
1401900,The Food Warehouse ByIceland,Retailers - supermarkets/hypermarkets,"Unit 1, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,N/A,N/A,N/A
268881,The Midcounties Co-operative,Retailers - supermarkets/hypermarkets,"217 - 219 Cowley Road, Oxford, Oxfordshire",OX4 1XG,0,0,0
269168,Waitrose,Retailers - supermarkets/hypermarkets,"9 - 11 Old High Street, Oxford, Oxfordshire",OX3 9HP,0,0,0
269257,Waitrose,Retailers - supermarkets/hypermarkets,"Welcome Break Peartree Roundabout, Woodstock Road, Oxford",OX2 8JZ,0,0,0
816791,Waitrose Ltd,Retailers - supermarkets/hypermarkets,"110 - 120 Botley Road, Oxford, Oxfordshire",OX2 0HH,0,0,0
