FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1002729,A Taste Of China,Takeaway/sandwich shop,"51 Covered Market, Market Street, Oxford",OX1 3DX,5,10,10
1019659,Alice's Fish And Chips,Takeaway/sandwich shop,"7 Atkyns Road, Oxford, Oxfordshire",OX3 8RA,0,5,5
1616679,Atlantic Fish Bar,Takeaway/sandwich shop,"270 Abingdon Road, Oxford, Oxfordshire",OX1 4TA,0,0,0
269422,Barton Chippy,Takeaway/sandwich shop,"2 Underhill Circus, Oxford, Oxfordshire",OX3 9LU,5,5,10
1426960,Bubbleology,Takeaway/sandwich shop,"126 High Street, Oxford, Oxfordshire",OX1 4DF,5,5,5
269549,Burger King Drive Thru,Takeaway/sandwich shop,"Unit 5, Oxford Retail Park, Ambassador Avenue",OX4 6XJ,0,5,0
1004743,Caprinos Pizza,Takeaway/sandwich shop,"387 Cowley Road, Oxford, Oxfordshire",OX4 2BS,0,0,0
1683629,Caprinos Pizza,Takeaway/sandwich shop,"6 The Roundway, Oxford, Oxfordshire",OX3 8DH,0,0,0
1212445,Chicken Cottage,Takeaway/sandwich shop,"107 Cowley Road, Oxford, Oxfordshire",OX4 1HU,5,5,5
268908,Chicken Hut,Takeaway/sandwich shop,"55 Between Towns Road, Oxford, Oxfordshire",OX4 3LR,5,5,5
268782,Chillies Indian Takeaway,Takeaway/sandwich shop,"Chilli's Indian Cuisine, Dunnock Way, Oxford",OX4 7EX,0,0,0
1452840,China Kitchen,Takeaway/sandwich shop,"131 Oxford Road, Cowley, Oxford",OX4 2ES,5,0,5
1743484,Courtside Kiosk@ Cutteslowe,Takeaway/sandwich shop,"Food Kiosk, Harbord Road, Oxford",OX2 8ES,0,0,0
723651,CurryDor,Takeaway/sandwich shop,"25 Botley Road, Oxford, Oxfordshire",OX2 0BN,0,5,0
268412,Delight Kebab House,Takeaway/sandwich shop,"56 Between Towns Road, Oxford, Oxfordshire",OX4 3LR,5,5,5
268956,Domino's Pizza,Takeaway/sandwich shop,"126 London Road, Headington, Oxford",OX3 9ED,0,0,0
269148,Domino's Pizza,Takeaway/sandwich shop,"18 Park End Street, Oxford, Oxfordshire",OX1 1HU,0,0,0
